4900	38
39900	24390
109900	117072
179900	8794
249900	58279
319900	7146
389900	5346
459900	509
529900	19736
599900	19807
669900	49
739900	788
809900	1
1019900	5
1089900	6
1299900	15
1369900	1
1789900	2
1999900	21
3900	774
59900	41506
129900	31272
199900	28136
269900	4622
339900	1033
409900	1590
479900	3143
549900	1447
619900	247
689900	46
759900	6
899900	7
1389900	94
1599900	10
2900	52
9900	17138
79900	80695
149900	18848
219900	12045
289900	8050
359900	448
429900	445
499900	808
569900	5345
639900	8872
709900	2
1689900	5
1829900	9
1969900	2
2389900	47
3089900	1
3509900	4
1900	54
8900	921
29900	29517
99900	49457
169900	10069
239900	7313
309900	1783
379900	1878
449900	3250
519900	4900
589900	272
659900	158
729900	63
799900	97
869900	6
1289900	2
1359900	2
1499900	1
1989900	10
2689900	3
900	6528
7900	4783
49900	12176
119900	44853
189900	2041
259900	13292
329900	1495
399900	12193
469900	1091
539900	584
609900	420
679900	73
749900	23
889900	3
1099900	1
2289900	28
2989900	8
4809900	4
6900	2089
69900	59139
139900	30434
209900	7377
279900	31446
349900	1152
419900	1072
489900	4789
559900	10398
629900	30
699900	64
839900	1
1189900	16
1399900	52
1819900	32
1889900	2
2799900	1
5900	3360
19900	43047
89900	66594
159900	9877
229900	38809
299900	12717
369900	8377
439900	2399
509900	80
579900	204
649900	374
789900	66
859900	13
999900	533
3589900	4
4989900	2
